,WORD,COUNT
1535,manufacturing,49
921,unusual,49
487,reported,49
3104,struck,49
4918,phase,49
1922,forced,49
3528,saw,48
123,prohibiting,48
2563,sign,48
4492,island,48
5233,atlantic,48
10129,aedpa,48
1301,college,48
823,aside,48
1433,incident,48
4614,detained,48
1407,charles,48
1064,h,48
2748,longer,48
3963,remove,48
344,birth,48
588,procedural,48
2624,contributions,48
2363,prejudice,48
6790,means,48
1473,designated,48
795,door,48
1349,knew,48
198,enter,48
2008,course,48
4195,needed,47
2679,read,47
2406,damage,47
2322,abortions,47
2917,veterans,47
1531,conclusion,47
2378,put,47
1982,avoid,47
1409,jr,47
2885,clear,47
1380,turned,47
5352,elections,47
1856,affidavit,47
2740,compensatory,47
2809,level,47
1043,cruel,47
1108,adverse,47
2158,welfare,47
3358,challenges,47
124,distribution,47
2039,agencies,47
1884,disabled,47
1061,prosecutors,46
2946,iii,46
1345,voluntary,46
498,things,46
4730,proceed,46
1657,food,46
600,marketing,46
2765,quality,46
5953,cable,46
1603,employed,46
1602,alien,46
3289,discovery,46
1314,termination,46
2531,nine,46
3502,performed,46
2241,authorities,46
5475,coal,46
5526,retaliation,46
5138,ban,46
433,membership,46
3366,moore,46
2002,hold,45
5438,raise,45
1541,operation,45
3852,accordance,45
2643,transactions,45
3288,compel,45
515,learned,45
3584,phone,45
1642,around,45
2486,small,45
1994,w,45
3880,shooting,45
5394,expert,45
874,eastern,45
295,answer,45
799,reached,45
5813,retroactively,45
902,applicable,45
897,unfair,45
4341,citizenship,45
5227,puerto,45
896,applying,45
1059,cited,45
3765,noting,45
1938,principal,45
7320,thompson,44
810,heroin,44
305,strike,44
2348,history,44
5338,aggravating,44
3636,get,44
6439,trustee,44
7007,domestic,44
2329,murphy,44
1790,applications,44
1316,western,44
399,fell,44
429,room,44
5001,responded,44
2930,content,44
7088,tribes,44
2500,asking,44
8156,ada,44
3450,medicaid,44
577,real,44
3809,call,44
3023,goods,44
3729,ex,44
7165,felon,44
8138,census,44
141,chief,44
1478,employers,44
4053,interior,44
2207,san,44
1426,doubt,44
3269,cell,44
3911,seek,44
1434,line,44
1031,head,43
2058,remained,43
118,adult,43
1989,mitchell,43
4890,legislative,43
4665,makes,43
2347,natural,43
5978,design,43
2608,suspended,43
1487,contended,43
2773,reasonably,43
3117,carrier,43
1170,addition,43
3664,insufficient,43
2732,impact,43
2561,building,43
4661,findings,43
1835,front,43
1545,reduced,43
2722,west,43
1189,loans,43
1443,divided,43
538,religion,43
66,indicated,43
1290,led,43
4891,regulatory,43
